departure_jd,arrival_jd,departure_year,arrival_year,tof_days,c3_depart_km2s2,v_inf_depart_km_s,v_inf_arrive_km_s,dv_total_km_s
2461041.500,2461121.500,2026.0000,2026.2190,80.0,1837.994,42.872,42.852,76.229
2461041.500,2461131.500,2026.0000,2026.2464,90.0,1317.557,36.298,36.275,63.366
2461041.500,2461141.500,2026.0000,2026.2738,100.0,960.742,30.996,30.969,53.072
2461041.500,2461151.500,2026.0000,2026.3012,110.0,708.869,26.625,26.593,44.671
2461041.500,2461161.500,2026.0000,2026.3285,120.0,527.023,22.957,22.921,37.712
2461041.500,2461171.500,2026.0000,2026.3559,130.0,393.433,19.835,19.793,31.883
2461041.500,2461181.500,2026.0000,2026.3833,140.0,293.997,17.146,17.098,26.962
2461041.500,2461191.500,2026.0000,2026.4107,150.0,219.278,14.808,14.752,22.788
2461041.500,2461201.500,2026.0000,2026.4381,160.0,162.790,12.759,12.694,19.242
2461041.500,2461211.500,2026.0000,2026.4654,170.0,119.966,10.953,10.877,16.234
2461041.500,2461221.500,2026.0000,2026.4928,180.0,87.526,9.356,9.267,13.696
2461041.500,2461231.500,2026.0000,2026.5202,190.0,63.071,7.942,7.837,11.575
2461041.500,2461241.500,2026.0000,2026.5476,200.0,44.820,6.695,6.570,9.829
2461041.500,2461251.500,2026.0000,2026.5749,210.0,31.431,5.606,5.457,8.428
2461041.500,2461261.500,2026.0000,2026.6023,220.0,21.882,4.678,4.497,7.345
2461041.500,2461271.500,2026.0000,2026.6297,230.0,15.383,3.922,3.705,6.555
2461041.500,2461281.500,2026.0000,2026.6571,240.0,11.321,3.365,3.109,6.035
2461041.500,2461291.500,2026.0000,2026.6845,250.0,9.214,3.035,2.749,5.756
2461041.500,2461301.500,2026.0000,2026.7118,260.0,8.679,2.946,2.650,5.684
2461041.500,2461311.500,2026.0000,2026.7392,270.0,9.413,3.068,2.785,5.783
2461041.500,2461321.500,2026.0000,2026.7666,280.0,11.170,3.342,3.085,6.015
2461041.500,2461331.500,2026.0000,2026.7940,290.0,13.754,3.709,3.478,6.349
2461041.500,2461341.500,2026.0000,2026.8214,300.0,17.004,4.124,3.918,6.757
2461041.500,2461351.500,2026.0000,2026.8487,310.0,20.790,4.560,4.374,7.215
2461041.500,2461361.500,2026.0000,2026.8761,320.0,25.004,5.000,4.832,7.708
2461041.500,2461371.500,2026.0000,2026.9035,330.0,29.560,5.437,5.283,8.222
2461041.500,2461381.500,2026.0000,2026.9309,340.0,34.384,5.864,5.721,8.748
2461041.500,2461391.500,2026.0000,2026.9582,350.0,39.417,6.278,6.145,9.278
2461041.500,2461401.500,2026.0000,2026.9856,360.0,44.609,6.679,6.554,9.808
2461041.500,2461411.500,2026.0000,2027.0130,370.0,49.919,7.065,6.947,10.334
2461041.500,2461421.500,2026.0000,2027.0404,380.0,55.312,7.437,7.325,10.853
2461041.500,2461431.500,2026.0000,2027.0678,390.0,60.761,7.795,7.688,11.363
2461041.500,2461441.500,2026.0000,2027.0951,400.0,66.241,8.139,8.037,11.862
2461041.500,2461451.500,2026.0000,2027.1225,410.0,71.732,8.469,8.371,12.351
2461041.500,2461461.500,2026.0000,2027.1499,420.0,77.219,8.787,8.693,12.828
2461041.500,2461471.500,2026.0000,2027.1773,430.0,82.688,9.093,9.002,13.293
2461041.500,2461481.500,2026.0000,2027.2047,440.0,88.127,9.388,9.299,13.746
2461041.500,2461491.500,2026.0000,2027.2320,450.0,93.527,9.671,9.585,14.187
2461061.500,2461141.500,2026.0548,2026.2738,80.0,1837.992,42.872,42.852,76.229
2461061.500,2461151.500,2026.0548,2026.3012,90.0,1317.556,36.298,36.275,63.366
2461061.500,2461161.500,2026.0548,2026.3285,100.0,960.740,30.996,30.969,53.072
2461061.500,2461171.500,2026.0548,2026.3559,110.0,708.868,26.625,26.593,44.671
2461061.500,2461181.500,2026.0548,2026.3833,120.0,527.022,22.957,22.921,37.712
2461061.500,2461191.500,2026.0548,2026.4107,130.0,393.433,19.835,19.793,31.883
2461061.500,2461201.500,2026.0548,2026.4381,140.0,293.996,17.146,17.098,26.962
2461061.500,2461211.500,2026.0548,2026.4654,150.0,219.278,14.808,14.752,22.788
2461061.500,2461221.500,2026.0548,2026.4928,160.0,162.790,12.759,12.694,19.242
2461061.500,2461231.500,2026.0548,2026.5202,170.0,119.966,10.953,10.877,16.234
2461061.500,2461241.500,2026.0548,2026.5476,180.0,87.525,9.356,9.267,13.696
2461061.500,2461251.500,2026.0548,2026.5749,190.0,63.071,7.942,7.837,11.575
2461061.500,2461261.500,2026.0548,2026.6023,200.0,44.820,6.695,6.570,9.829
2461061.500,2461271.500,2026.0548,2026.6297,210.0,31.431,5.606,5.457,8.428
2461061.500,2461281.500,2026.0548,2026.6571,220.0,21.882,4.678,4.497,7.345
2461061.500,2461291.500,2026.0548,2026.6845,230.0,15.383,3.922,3.705,6.555
2461061.500,2461301.500,2026.0548,2026.7118,240.0,11.321,3.365,3.109,6.035
2461061.500,2461311.500,2026.0548,2026.7392,250.0,9.214,3.035,2.749,5.756
2461061.500,2461321.500,2026.0548,2026.7666,260.0,8.679,2.946,2.650,5.684
2461061.500,2461331.500,2026.0548,2026.7940,270.0,9.413,3.068,2.785,5.783
2461061.500,2461341.500,2026.0548,2026.8214,280.0,11.170,3.342,3.085,6.015
2461061.500,2461351.500,2026.0548,2026.8487,290.0,13.754,3.709,3.478,6.349
2461061.500,2461361.500,2026.0548,2026.8761,300.0,17.004,4.124,3.918,6.757
2461061.500,2461371.500,2026.0548,2026.9035,310.0,20.790,4.560,4.374,7.215
2461061.500,2461381.500,2026.0548,2026.9309,320.0,25.005,5.000,4.832,7.708
2461061.500,2461391.500,2026.0548,2026.9582,330.0,29.560,5.437,5.283,8.222
2461061.500,2461401.500,2026.0548,2026.9856,340.0,34.384,5.864,5.721,8.748
2461061.500,2461411.500,2026.0548,2027.0130,350.0,39.417,6.278,6.145,9.278
2461061.500,2461421.500,2026.0548,2027.0404,360.0,44.609,6.679,6.554,9.808
2461061.500,2461431.500,2026.0548,2027.0678,370.0,49.919,7.065,6.947,10.334
2461061.500,2461441.500,2026.0548,2027.0951,380.0,55.312,7.437,7.325,10.853
2461061.500,2461451.500,2026.0548,2027.1225,390.0,60.761,7.795,7.688,11.363
2461061.500,2461461.500,2026.0548,2027.1499,400.0,66.241,8.139,8.037,11.862
2461061.500,2461471.500,2026.0548,2027.1773,410.0,71.733,8.470,8.371,12.351
2461061.500,2461481.500,2026.0548,2027.2047,420.0,77.220,8.787,8.693,12.828
2461061.500,2461491.500,2026.0548,2027.2320,430.0,82.688,9.093,9.002,13.293
2461061.500,2461501.500,2026.0548,2027.2594,440.0,88.127,9.388,9.299,13.746
2461061.500,2461511.500,2026.0548,2027.2868,450.0,93.528,9.671,9.585,14.187
2461081.500,2461161.500,2026.1095,2026.3285,80.0,1837.992,42.872,42.852,76.229
2461081.500,2461171.500,2026.1095,2026.3559,90.0,1317.554,36.298,36.275,63.366
2461081.500,2461181.500,2026.1095,2026.3833,100.0,960.740,30.996,30.969,53.072
2461081.500,2461191.500,2026.1095,2026.4107,110.0,708.868,26.625,26.593,44.671
2461081.500,2461201.500,2026.1095,2026.4381,120.0,527.021,22.957,22.921,37.712
2461081.500,2461211.500,2026.1095,2026.4654,130.0,393.432,19.835,19.793,31.883
2461081.500,2461221.500,2026.1095,2026.4928,140.0,293.996,17.146,17.098,26.962
2461081.500,2461231.500,2026.1095,2026.5202,150.0,219.277,14.808,14.752,22.788
2461081.500,2461241.500,2026.1095,2026.5476,160.0,162.789,12.759,12.694,19.242
2461081.500,2461251.500,2026.1095,2026.5749,170.0,119.966,10.953,10.877,16.234
2461081.500,2461261.500,2026.1095,2026.6023,180.0,87.525,9.355,9.267,13.696
2461081.500,2461271.500,2026.1095,2026.6297,190.0,63.071,7.942,7.837,11.575
2461081.500,2461281.500,2026.1095,2026.6571,200.0,44.820,6.695,6.570,9.829
2461081.500,2461291.500,2026.1095,2026.6845,210.0,31.431,5.606,5.457,8.428
2461081.500,2461301.500,2026.1095,2026.7118,220.0,21.882,4.678,4.497,7.345
2461081.500,2461311.500,2026.1095,2026.7392,230.0,15.383,3.922,3.705,6.555
2461081.500,2461321.500,2026.1095,2026.7666,240.0,11.321,3.365,3.109,6.035
2461081.500,2461331.500,2026.1095,2026.7940,250.0,9.214,3.035,2.749,5.756
2461081.500,2461341.500,2026.1095,2026.8214,260.0,8.679,2.946,2.650,5.684
2461081.500,2461351.500,2026.1095,2026.8487,270.0,9.413,3.068,2.785,5.783
2461081.500,2461361.500,2026.1095,2026.8761,280.0,11.170,3.342,3.085,6.015
2461081.500,2461371.500,2026.1095,2026.9035,290.0,13.754,3.709,3.479,6.349
2461081.500,2461381.500,2026.1095,2026.9309,300.0,17.004,4.124,3.918,6.757
2461081.500,2461391.500,2026.1095,2026.9582,310.0,20.790,4.560,4.375,7.215
2461081.500,2461401.500,2026.1095,2026.9856,320.0,25.005,5.000,4.832,7.708
2461081.500,2461411.500,2026.1095,2027.0130,330.0,29.560,5.437,5.283,8.222
2461081.500,2461421.500,2026.1095,2027.0404,340.0,34.385,5.864,5.721,8.748
2461081.500,2461431.500,2026.1095,2027.0678,350.0,39.417,6.278,6.145,9.278
2461081.500,2461441.500,2026.1095,2027.0951,360.0,44.609,6.679,6.554,9.808
2461081.500,2461451.500,2026.1095,2027.1225,370.0,49.919,7.065,6.947,10.334
2461081.500,2461461.500,2026.1095,2027.1499,380.0,55.312,7.437,7.325,10.853
2461081.500,2461471.500,2026.1095,2027.1773,390.0,60.761,7.795,7.688,11.363
2461081.500,2461481.500,2026.1095,2027.2047,400.0,66.241,8.139,8.037,11.862
2461081.500,2461491.500,2026.1095,2027.2320,410.0,71.733,8.470,8.371,12.351
2461081.500,2461501.500,2026.1095,2027.2594,420.0,77.220,8.787,8.693,12.828
2461081.500,2461511.500,2026.1095,2027.2868,430.0,82.689,9.093,9.002,13.293
2461081.500,2461521.500,2026.1095,2027.3142,440.0,88.128,9.388,9.299,13.746
2461081.500,2461531.500,2026.1095,2027.3415,450.0,93.528,9.671,9.585,14.187
2461101.500,2461181.500,2026.1643,2026.3833,80.0,1837.990,42.872,42.852,76.229
2461101.500,2461191.500,2026.1643,2026.4107,90.0,1317.555,36.298,36.275,63.366
2461101.500,2461201.500,2026.1643,2026.4381,100.0,960.738,30.996,30.969,53.072
2461101.500,2461211.500,2026.1643,2026.4654,110.0,708.867,26.625,26.593,44.671
2461101.500,2461221.500,2026.1643,2026.4928,120.0,527.020,22.957,22.921,37.712
2461101.500,2461231.500,2026.1643,2026.5202,130.0,393.431,19.835,19.793,31.883
2461101.500,2461241.500,2026.1643,2026.5476,140.0,293.995,17.146,17.098,26.962
2461101.500,2461251.500,2026.1643,2026.5749,150.0,219.277,14.808,14.752,22.788
2461101.500,2461261.500,2026.1643,2026.6023,160.0,162.789,12.759,12.694,19.242
2461101.500,2461271.500,2026.1643,2026.6297,170.0,119.965,10.953,10.877,16.234
2461101.500,2461281.500,2026.1643,2026.6571,180.0,87.525,9.355,9.267,13.696
2461101.500,2461291.500,2026.1643,2026.6845,190.0,63.070,7.942,7.837,11.575
2461101.500,2461301.500,2026.1643,2026.7118,200.0,44.820,6.695,6.570,9.829
2461101.500,2461311.500,2026.1643,2026.7392,210.0,31.431,5.606,5.457,8.428
2461101.500,2461321.500,2026.1643,2026.7666,220.0,21.882,4.678,4.497,7.345
2461101.500,2461331.500,2026.1643,2026.7940,230.0,15.383,3.922,3.705,6.555
2461101.500,2461341.500,2026.1643,2026.8214,240.0,11.321,3.365,3.109,6.035
2461101.500,2461351.500,2026.1643,2026.8487,250.0,9.214,3.035,2.749,5.756
2461101.500,2461361.500,2026.1643,2026.8761,260.0,8.679,2.946,2.650,5.684
2461101.500,2461371.500,2026.1643,2026.9035,270.0,9.413,3.068,2.785,5.783
2461101.500,2461381.500,2026.1643,2026.9309,280.0,11.170,3.342,3.085,6.015
2461101.500,2461391.500,2026.1643,2026.9582,290.0,13.754,3.709,3.479,6.349
2461101.500,2461401.500,2026.1643,2026.9856,300.0,17.004,4.124,3.918,6.757
2461101.500,2461411.500,2026.1643,2027.0130,310.0,20.790,4.560,4.375,7.215
2461101.500,2461421.500,2026.1643,2027.0404,320.0,25.005,5.000,4.832,7.708
2461101.500,2461431.500,2026.1643,2027.0678,330.0,29.560,5.437,5.283,8.222
2461101.500,2461441.500,2026.1643,2027.0951,340.0,34.385,5.864,5.721,8.748
2461101.500,2461451.500,2026.1643,2027.1225,350.0,39.418,6.278,6.145,9.278
2461101.500,2461461.500,2026.1643,2027.1499,360.0,44.609,6.679,6.554,9.808
2461101.500,2461471.500,2026.1643,2027.1773,370.0,49.919,7.065,6.947,10.334
2461101.500,2461481.500,2026.1643,2027.2047,380.0,55.313,7.437,7.325,10.853
2461101.500,2461491.500,2026.1643,2027.2320,390.0,60.761,7.795,7.688,11.363
2461101.500,2461501.500,2026.1643,2027.2594,400.0,66.241,8.139,8.037,11.862
2461101.500,2461511.500,2026.1643,2027.2868,410.0,71.733,8.470,8.371,12.351
2461101.500,2461521.500,2026.1643,2027.3142,420.0,77.220,8.787,8.693,12.828
2461101.500,2461531.500,2026.1643,2027.3415,430.0,82.689,9.093,9.002,13.293
2461101.500,2461541.500,2026.1643,2027.3689,440.0,88.128,9.388,9.299,13.746
2461101.500,2461551.500,2026.1643,2027.3963,450.0,93.528,9.671,9.585,14.187
2461121.500,2461201.500,2026.2190,2026.4381,80.0,1837.990,42.872,42.852,76.229
2461121.500,2461211.500,2026.2190,2026.4654,90.0,1317.552,36.298,36.275,63.366
2461121.500,2461221.500,2026.2190,2026.4928,100.0,960.736,30.996,30.969,53.072
2461121.500,2461231.500,2026.2190,2026.5202,110.0,708.866,26.625,26.593,44.671
2461121.500,2461241.500,2026.2190,2026.5476,120.0,527.019,22.957,22.921,37.712
2461121.500,2461251.500,2026.2190,2026.5749,130.0,393.430,19.835,19.793,31.883
2461121.500,2461261.500,2026.2190,2026.6023,140.0,293.994,17.146,17.098,26.962
2461121.500,2461271.500,2026.2190,2026.6297,150.0,219.276,14.808,14.752,22.788
2461121.500,2461281.500,2026.2190,2026.6571,160.0,162.788,12.759,12.694,19.242
2461121.500,2461291.500,2026.2190,2026.6845,170.0,119.965,10.953,10.877,16.234
2461121.500,2461301.500,2026.2190,2026.7118,180.0,87.525,9.355,9.267,13.696
2461121.500,2461311.500,2026.2190,2026.7392,190.0,63.070,7.942,7.837,11.575
2461121.500,2461321.500,2026.2190,2026.7666,200.0,44.819,6.695,6.570,9.829
2461121.500,2461331.500,2026.2190,2026.7940,210.0,31.431,5.606,5.457,8.428
2461121.500,2461341.500,2026.2190,2026.8214,220.0,21.882,4.678,4.497,7.345
2461121.500,2461351.500,2026.2190,2026.8487,230.0,15.383,3.922,3.705,6.555
2461121.500,2461361.500,2026.2190,2026.8761,240.0,11.321,3.365,3.109,6.035
2461121.500,2461371.500,2026.2190,2026.9035,250.0,9.214,3.035,2.749,5.756
2461121.500,2461381.500,2026.2190,2026.9309,260.0,8.679,2.946,2.650,5.684
2461121.500,2461391.500,2026.2190,2026.9582,270.0,9.413,3.068,2.785,5.783
2461121.500,2461401.500,2026.2190,2026.9856,280.0,11.170,3.342,3.085,6.015
2461121.500,2461411.500,2026.2190,2027.0130,290.0,13.754,3.709,3.479,6.349
2461121.500,2461421.500,2026.2190,2027.0404,300.0,17.004,4.124,3.918,6.757
2461121.500,2461431.500,2026.2190,2027.0678,310.0,20.790,4.560,4.375,7.215
2461121.500,2461441.500,2026.2190,2027.0951,320.0,25.005,5.000,4.832,7.708
2461121.500,2461451.500,2026.2190,2027.1225,330.0,29.561,5.437,5.283,8.222
2461121.500,2461461.500,2026.2190,2027.1499,340.0,34.385,5.864,5.721,8.748
2461121.500,2461471.500,2026.2190,2027.1773,350.0,39.418,6.278,6.145,9.278
2461121.500,2461481.500,2026.2190,2027.2047,360.0,44.610,6.679,6.554,9.808
2461121.500,2461491.500,2026.2190,2027.2320,370.0,49.919,7.065,6.947,10.334
2461121.500,2461501.500,2026.2190,2027.2594,380.0,55.313,7.437,7.325,10.853
2461121.500,2461511.500,2026.2190,2027.2868,390.0,60.762,7.795,7.688,11.363
2461121.500,2461521.500,2026.2190,2027.3142,400.0,66.242,8.139,8.037,11.862
2461121.500,2461531.500,2026.2190,2027.3415,410.0,71.733,8.470,8.371,12.351
2461121.500,2461541.500,2026.2190,2027.3689,420.0,77.220,8.788,8.693,12.828
2461121.500,2461551.500,2026.2190,2027.3963,430.0,82.689,9.093,9.002,13.293
2461121.500,2461561.500,2026.2190,2027.4237,440.0,88.128,9.388,9.299,13.746
2461121.500,2461571.500,2026.2190,2027.4511,450.0,93.529,9.671,9.585,14.187
2461141.500,2461221.500,2026.2738,2026.4928,80.0,1838.015,42.872,42.852,76.229
2461141.500,2461231.500,2026.2738,2026.5202,90.0,1318.214,36.307,36.270,63.369
2461141.500,2461241.500,2026.2738,2026.5476,100.0,960.737,30.996,30.969,53.072
2461141.500,2461251.500,2026.2738,2026.5749,110.0,708.866,26.625,26.593,44.671
2461141.500,2461261.500,2026.2738,2026.6023,120.0,527.020,22.957,22.921,37.712
2461141.500,2461271.500,2026.2738,2026.6297,130.0,393.431,19.835,19.793,31.883
2461141.500,2461281.500,2026.2738,2026.6571,140.0,293.995,17.146,17.098,26.962
2461141.500,2461291.500,2026.2738,2026.6845,150.0,219.276,14.808,14.752,22.788
2461141.500,2461301.500,2026.2738,2026.7118,160.0,162.788,12.759,12.694,19.242
2461141.500,2461311.500,2026.2738,2026.7392,170.0,119.965,10.953,10.877,16.234
2461141.500,2461321.500,2026.2738,2026.7666,180.0,87.525,9.355,9.267,13.696
2461141.500,2461331.500,2026.2738,2026.7940,190.0,63.070,7.942,7.837,11.575
2461141.500,2461341.500,2026.2738,2026.8214,200.0,44.819,6.695,6.570,9.829
2461141.500,2461351.500,2026.2738,2026.8487,210.0,31.431,5.606,5.457,8.428
2461141.500,2461361.500,2026.2738,2026.8761,220.0,21.882,4.678,4.497,7.345
2461141.500,2461371.500,2026.2738,2026.9035,230.0,15.383,3.922,3.705,6.555
2461141.500,2461381.500,2026.2738,2026.9309,240.0,11.321,3.365,3.109,6.035
2461141.500,2461391.500,2026.2738,2026.9582,250.0,9.214,3.035,2.749,5.756
2461141.500,2461401.500,2026.2738,2026.9856,260.0,8.679,2.946,2.650,5.684
2461141.500,2461411.500,2026.2738,2027.0130,270.0,9.413,3.068,2.785,5.783
2461141.500,2461421.500,2026.2738,2027.0404,280.0,11.170,3.342,3.085,6.015
2461141.500,2461431.500,2026.2738,2027.0678,290.0,13.754,3.709,3.479,6.349
2461141.500,2461441.500,2026.2738,2027.0951,300.0,17.004,4.124,3.918,6.757
2461141.500,2461451.500,2026.2738,2027.1225,310.0,20.790,4.560,4.375,7.215
2461141.500,2461461.500,2026.2738,2027.1499,320.0,25.005,5.001,4.832,7.708
2461141.500,2461471.500,2026.2738,2027.1773,330.0,29.561,5.437,5.283,8.222
2461141.500,2461481.500,2026.2738,2027.2047,340.0,34.385,5.864,5.721,8.748
2461141.500,2461491.500,2026.2738,2027.2320,350.0,39.418,6.278,6.145,9.278
2461141.500,2461501.500,2026.2738,2027.2594,360.0,44.610,6.679,6.554,9.808
2461141.500,2461511.500,2026.2738,2027.2868,370.0,49.920,7.065,6.947,10.334
2461141.500,2461521.500,2026.2738,2027.3142,380.0,55.313,7.437,7.325,10.853
2461141.500,2461531.500,2026.2738,2027.3415,390.0,60.762,7.795,7.688,11.363
2461141.500,2461541.500,2026.2738,2027.3689,400.0,66.242,8.139,8.037,11.862
2461141.500,2461551.500,2026.2738,2027.3963,410.0,71.734,8.470,8.371,12.351
2461141.500,2461561.500,2026.2738,2027.4237,420.0,77.221,8.788,8.693,12.828
2461141.500,2461571.500,2026.2738,2027.4511,430.0,82.689,9.093,9.002,13.293
2461141.500,2461581.500,2026.2738,2027.4784,440.0,88.129,9.388,9.299,13.746
2461141.500,2461591.500,2026.2738,2027.5058,450.0,93.529,9.671,9.585,14.187
2461161.500,2461241.500,2026.3285,2026.5476,80.0,1837.981,42.872,42.852,76.229
2461161.500,2461251.500,2026.3285,2026.5749,90.0,1317.553,36.298,36.275,63.366
2461161.500,2461261.500,2026.3285,2026.6023,100.0,960.774,30.996,30.969,53.072
2461161.500,2461271.500,2026.3285,2026.6297,110.0,708.909,26.625,26.593,44.671
2461161.500,2461281.500,2026.3285,2026.6571,120.0,527.016,22.957,22.921,37.712
2461161.500,2461291.500,2026.3285,2026.6845,130.0,393.425,19.835,19.793,31.882
2461161.500,2461301.500,2026.3285,2026.7118,140.0,293.994,17.146,17.098,26.962
2461161.500,2461311.500,2026.3285,2026.7392,150.0,219.276,14.808,14.752,22.788
2461161.500,2461321.500,2026.3285,2026.7666,160.0,162.788,12.759,12.694,19.242
2461161.500,2461331.500,2026.3285,2026.7940,170.0,119.964,10.953,10.877,16.234
2461161.500,2461341.500,2026.3285,2026.8214,180.0,87.524,9.355,9.267,13.696
2461161.500,2461351.500,2026.3285,2026.8487,190.0,63.069,7.942,7.837,11.575
2461161.500,2461361.500,2026.3285,2026.8761,200.0,44.819,6.695,6.570,9.829
2461161.500,2461371.500,2026.3285,2026.9035,210.0,31.431,5.606,5.457,8.428
2461161.500,2461381.500,2026.3285,2026.9309,220.0,21.882,4.678,4.497,7.345
2461161.500,2461391.500,2026.3285,2026.9582,230.0,15.383,3.922,3.705,6.555
2461161.500,2461401.500,2026.3285,2026.9856,240.0,11.321,3.365,3.109,6.035
2461161.500,2461411.500,2026.3285,2027.0130,250.0,9.214,3.035,2.749,5.756
2461161.500,2461421.500,2026.3285,2027.0404,260.0,8.680,2.946,2.650,5.684
2461161.500,2461431.500,2026.3285,2027.0678,270.0,9.413,3.068,2.785,5.783
2461161.500,2461441.500,2026.3285,2027.0951,280.0,11.170,3.342,3.085,6.015
2461161.500,2461451.500,2026.3285,2027.1225,290.0,13.754,3.709,3.479,6.349
2461161.500,2461461.500,2026.3285,2027.1499,300.0,17.005,4.124,3.918,6.757
2461161.500,2461471.500,2026.3285,2027.1773,310.0,20.790,4.560,4.375,7.215
2461161.500,2461481.500,2026.3285,2027.2047,320.0,25.005,5.001,4.832,7.708
2461161.500,2461491.500,2026.3285,2027.2320,330.0,29.561,5.437,5.283,8.222
2461161.500,2461501.500,2026.3285,2027.2594,340.0,34.385,5.864,5.721,8.748
2461161.500,2461511.500,2026.3285,2027.2868,350.0,39.418,6.278,6.145,9.278
2461161.500,2461521.500,2026.3285,2027.3142,360.0,44.610,6.679,6.554,9.808
2461161.500,2461531.500,2026.3285,2027.3415,370.0,49.920,7.065,6.947,10.334
2461161.500,2461541.500,2026.3285,2027.3689,380.0,55.313,7.437,7.325,10.853
2461161.500,2461551.500,2026.3285,2027.3963,390.0,60.762,7.795,7.688,11.363
2461161.500,2461561.500,2026.3285,2027.4237,400.0,66.242,8.139,8.037,11.862
2461161.500,2461571.500,2026.3285,2027.4511,410.0,71.734,8.470,8.371,12.351
2461161.500,2461581.500,2026.3285,2027.4784,420.0,77.221,8.788,8.693,12.828
2461161.500,2461591.500,2026.3285,2027.5058,430.0,82.690,9.093,9.002,13.293
2461161.500,2461601.500,2026.3285,2027.5332,440.0,88.129,9.388,9.299,13.746
2461161.500,2461611.500,2026.3285,2027.5606,450.0,93.529,9.671,9.585,14.187
2461181.500,2461261.500,2026.3833,2026.6023,80.0,1837.985,42.872,42.852,76.229
2461181.500,2461271.500,2026.3833,2026.6297,90.0,1317.550,36.298,36.275,63.366
2461181.500,2461281.500,2026.3833,2026.6571,100.0,960.735,30.996,30.969,53.072
2461181.500,2461291.500,2026.3833,2026.6845,110.0,708.867,26.625,26.593,44.671
2461181.500,2461301.500,2026.3833,2026.7118,120.0,527.210,22.961,22.918,37.713
2461181.500,2461311.500,2026.3833,2026.7392,130.0,393.488,19.837,19.792,31.883
2461181.500,2461321.500,2026.3833,2026.7666,140.0,293.995,17.146,17.098,26.962
2461181.500,2461331.500,2026.3833,2026.7940,150.0,219.277,14.808,14.752,22.788
2461181.500,2461341.500,2026.3833,2026.8214,160.0,162.790,12.759,12.694,19.242
2461181.500,2461351.500,2026.3833,2026.8487,170.0,119.965,10.953,10.877,16.234
2461181.500,2461361.500,2026.3833,2026.8761,180.0,87.525,9.355,9.267,13.696
2461181.500,2461371.500,2026.3833,2026.9035,190.0,63.070,7.942,7.837,11.574
2461181.500,2461381.500,2026.3833,2026.9309,200.0,44.819,6.695,6.570,9.829
2461181.500,2461391.500,2026.3833,2026.9582,210.0,31.431,5.606,5.457,8.428
2461181.500,2461401.500,2026.3833,2026.9856,220.0,21.881,4.678,4.497,7.345
2461181.500,2461411.500,2026.3833,2027.0130,230.0,15.383,3.922,3.705,6.555
2461181.500,2461421.500,2026.3833,2027.0404,240.0,11.321,3.365,3.109,6.035
2461181.500,2461431.500,2026.3833,2027.0678,250.0,9.214,3.035,2.749,5.756
2461181.500,2461441.500,2026.3833,2027.0951,260.0,8.679,2.946,2.650,5.684
2461181.500,2461451.500,2026.3833,2027.1225,270.0,9.413,3.068,2.785,5.783
2461181.500,2461461.500,2026.3833,2027.1499,280.0,11.171,3.342,3.085,6.015
2461181.500,2461471.500,2026.3833,2027.1773,290.0,13.754,3.709,3.479,6.349
2461181.500,2461481.500,2026.3833,2027.2047,300.0,17.005,4.124,3.918,6.757
2461181.500,2461491.500,2026.3833,2027.2320,310.0,20.791,4.560,4.375,7.215
2461181.500,2461501.500,2026.3833,2027.2594,320.0,25.005,5.001,4.832,7.708
2461181.500,2461511.500,2026.3833,2027.2868,330.0,29.561,5.437,5.283,8.222
2461181.500,2461521.500,2026.3833,2027.3142,340.0,34.385,5.864,5.721,8.748
2461181.500,2461531.500,2026.3833,2027.3415,350.0,39.418,6.278,6.145,9.278
2461181.500,2461541.500,2026.3833,2027.3689,360.0,44.610,6.679,6.554,9.808
2461181.500,2461551.500,2026.3833,2027.3963,370.0,49.920,7.065,6.947,10.334
2461181.500,2461561.500,2026.3833,2027.4237,380.0,55.314,7.437,7.325,10.853
2461181.500,2461571.500,2026.3833,2027.4511,390.0,60.762,7.795,7.688,11.363
2461181.500,2461581.500,2026.3833,2027.4784,400.0,66.242,8.139,8.037,11.862
2461181.500,2461591.500,2026.3833,2027.5058,410.0,71.734,8.470,8.371,12.351
2461181.500,2461601.500,2026.3833,2027.5332,420.0,77.221,8.788,8.693,12.828
2461181.500,2461611.500,2026.3833,2027.5606,430.0,82.690,9.093,9.002,13.293
2461181.500,2461621.500,2026.3833,2027.5880,440.0,88.129,9.388,9.299,13.746
2461181.500,2461631.500,2026.3833,2027.6153,450.0,93.530,9.671,9.585,14.187
2461201.500,2461281.500,2026.4381,2026.6571,80.0,1837.982,42.872,42.852,76.229
2461201.500,2461291.500,2026.4381,2026.6845,90.0,1317.548,36.298,36.275,63.366
2461201.500,2461301.500,2026.4381,2026.7118,100.0,960.734,30.996,30.969,53.072
2461201.500,2461311.500,2026.4381,2026.7392,110.0,708.864,26.625,26.593,44.671
2461201.500,2461321.500,2026.4381,2026.7666,120.0,527.014,22.957,22.921,37.712
2461201.500,2461331.500,2026.4381,2026.7940,130.0,393.429,19.835,19.793,31.882
2461201.500,2461341.500,2026.4381,2026.8214,140.0,294.682,17.166,17.086,26.967
2461201.500,2461351.500,2026.4381,2026.8487,150.0,219.277,14.808,14.752,22.788
2461201.500,2461361.500,2026.4381,2026.8761,160.0,162.795,12.759,12.694,19.242
2461201.500,2461371.500,2026.4381,2026.9035,170.0,119.962,10.953,10.877,16.234
2461201.500,2461381.500,2026.4381,2026.9309,180.0,87.525,9.355,9.266,13.696
2461201.500,2461391.500,2026.4381,2026.9582,190.0,63.069,7.942,7.837,11.574
